,acd,cch,etf,etf-c,fru,fwe,htc,htc-c,htn,htn-c,ior,ldu,mru,ozd,pco,pma,swe,tre,wtu,ecs,pef,description
1 - Tshirt (250g) - C: KH - ATR: 33% - 12€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1742,1107,"T-shirt / Polo : 0,250kg, matière : 100% Coton provenance  par défaut (Asie - Pacifique), filature : France, Tricotage moyen (par défaut) : Cambodge, ennoblissement : Cambodge, impression : non, confection : Cambodge (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
2 - Tshirt (130g) - C: REO - ATR: 33% - 35€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598,458,"T-shirt / Polo : 0,130kg, matière : 72% Polyester provenance  par défaut (Asie - Pacifique), 16% Chanvre provenance  par défaut (Asie - Pacifique), 12% Viscose provenance  par défaut (Asie - Pacifique), filature : Pakistan, Tissage : Région - Europe de l'Ouest, ennoblissement : Région - Europe de l'Ouest, impression : non, confection : Région - Europe de l'Ouest (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
3 - Tshirt (220g) - C: REO - ATR: 100% - 11€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849,752,"T-shirt / Polo : 0,220kg, matière : 90% Lin provenance  par défaut (Europe), 4% Chanvre provenance  par défaut (Asie - Pacifique), 6% Viscose provenance  par défaut (Asie - Pacifique), filature : Tunisie, Tricotage moyen (par défaut) : Région - Europe de l'Ouest, ennoblissement : Région - Europe de l'Ouest, impression : non, confection : Région - Europe de l'Ouest (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
4 - Tshirt (280g) - C: VN - ATR: 100% - 15€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1811,1301,"T-shirt / Polo : 0,280kg, matière : 84% Polyester provenance  par défaut (Asie - Pacifique), 10% Chanvre provenance  par défaut (Asie - Pacifique), 6% Viscose provenance  par défaut (Asie - Pacifique), filature : Tunisie, Tricotage Intégral / Whole garment : Vietnam, ennoblissement : Vietnam, impression : non, confection : Vietnam (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
5 - Tshirt (160g) - C: TR - ATR: 100% - 14€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1671,1024,"T-shirt / Polo : 0,160kg, matière : 96% Coton provenance  par défaut (Asie - Pacifique), 2% Polyester provenance  par défaut (Asie - Pacifique), 2% Lin provenance  par défaut (Europe), filature : Myanmar, Tricotage Intégral / Whole garment : Turquie, ennoblissement : Turquie, impression : non, confection : Turquie (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
6 - Tshirt (160g) - C: REE - ATR: 100% - 13€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1169,863,"T-shirt / Polo : 0,160kg, matière : 90% Polyester provenance  par défaut (Asie - Pacifique), 4% Lin provenance  par défaut (Europe), 6% Viscose provenance  par défaut (Asie - Pacifique), filature : Inconnu (par défaut), Tricotage Intégral / Whole garment : Région - Europe de l'Est, ennoblissement : Région - Europe de l'Est, impression : non, confection : Région - Europe de l'Est (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
7 - Tshirt (220g) - C: ROC - ATR: 100% - 40€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342,974,"T-shirt / Polo : 0,220kg, matière : 74% Polyester provenance  par défaut (Asie - Pacifique), 18% Chanvre provenance  par défaut (Asie - Pacifique), 8% Viscose provenance  par défaut (Asie - Pacifique), filature : Myanmar, Tricotage moyen (par défaut) : Région - Océanie, ennoblissement : Région - Océanie, impression : non, confection : Région - Océanie (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
8 - Tshirt (190g) - C: MM - ATR: 33% - 19€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1142,755,"T-shirt / Polo : 0,190kg, matière : 87% Lin provenance  par défaut (Europe), 2% Chanvre provenance  par défaut (Asie - Pacifique), 11% Viscose provenance  par défaut (Asie - Pacifique), filature : Région - Amérique Latine, Tricotage moyen (par défaut) : Myanmar, ennoblissement : Myanmar, impression : non, confection : Myanmar (33 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
9 - Tshirt (220g) - C: VN - ATR: 0% - 13€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1691,1202,"T-shirt / Polo : 0,220kg, matière : 51% Lin provenance  par défaut (Europe), 18% Chanvre provenance  par défaut (Asie - Pacifique), 31% Viscose provenance  par défaut (Asie - Pacifique), filature : Pakistan, Tricotage moyen (par défaut) : Vietnam, ennoblissement : Vietnam, impression : non, confection : Vietnam, distribution : France, utilisation : France, fin de vie : France"
10 - Tshirt (130g) - C: KH - ATR: 100% - 23€.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786,639,"T-shirt / Polo : 0,130kg, matière : 58% Lin provenance  par défaut (Europe), 3% Chanvre provenance  par défaut (Asie - Pacifique), 39% Viscose provenance  par défaut (Asie - Pacifique), filature : Pakistan, Tricotage Intégral / Whole garment : Cambodge, ennoblissement : Cambodge, impression : non, confection : Cambodge (100 de transport aérien), distribution : France, utilisation : France, fin de vie : France"
